File;Accuracy;Precision;Recall
rule_based_evaluation.txt;0.71;0.4888888888888889;0.38596491228070173

;Gold Standard Match; System Match;HLexLink;WikidataLinkGold;WikidataLinkSystem
d5e77559Heiligenlexikon-1858;Q6795631;Q532019;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e77559Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q6795631;https://www.wikidata.org/wiki/Q532019
d3e30118Heiligenlexikon-1858;;Q80028;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e30118Heiligenlexikon-1858;;Q80028
d3e30118Heiligenlexikon-1858;;Q80028;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e30118Heiligenlexikon-1858;;Q80028
d3e406698Heiligenlexikon-1858;;Q427221;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e406698Heiligenlexikon-1858;;Q427221
d3e406698Heiligenlexikon-1858;;Q427221;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e406698Heiligenlexikon-1858;;Q427221
d3e55012Heiligenlexikon-1858;;Q113369464;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e55012Heiligenlexikon-1858;;Q113369464
d3e227775Heiligenlexikon-1858;Q41476256;Q149727;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e227775Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q41476256;https://www.wikidata.org/wiki/Q149727
d3e124854Heiligenlexikon-1858;;Q4961976;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e124854Heiligenlexikon-1858;;Q4961976
d5e232032Heiligenlexikon-1858;;Q121603289;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e232032Heiligenlexikon-1858;;Q121603289
d3e134445Heiligenlexikon-1858;;Q2935097;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e134445Heiligenlexikon-1858;;Q2935097
d3e125922Heiligenlexikon-1858;Q2515964;Q921091;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e125922Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q2515964;https://www.wikidata.org/wiki/Q921091
d3e80501Heiligenlexikon-1858;;Q97131859;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e80501Heiligenlexikon-1858;;Q97131859
d5e284806Heiligenlexikon-1858;;Q682282;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e284806Heiligenlexikon-1858;;Q682282

False Negatives
d5e95141Heiligenlexikon-1858;Q6819933;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e95141Heiligenlexikon-1858;Q6819933;
d5e346893Heiligenlexikon-1858;Q2183266;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e346893Heiligenlexikon-1858;Q2183266;
